Date,factor_portfolio,benchmark
2024-09-23,1.0,1.0
2024-09-24,0.9981174729168378,1.002511178844347
2024-09-25,0.9931074363366249,1.0006452559852679
2024-09-26,0.9922861251877966,1.0046865376820702
2024-09-27,0.9993491405911203,1.00342744746654
2024-09-30,1.0042225462697139,1.0076785206091279
2024-10-01,1.0046003204837475,0.9982828181659753
2024-10-02,1.004110870247776,0.9984209714257561
2024-10-03,1.0031036558242024,0.9967422129334506
2024-10-04,1.0064944214917197,1.0056832391662613
2024-10-07,1.001270826573202,0.9960427373437568
2024-10-08,1.0055194080252117,1.0056937415463312
2024-10-09,1.0121911658189329,1.0128476554631887
2024-10-10,1.0087602868273386,1.010750936398184
2024-10-11,1.0111887865935711,1.0168678470146473
2024-10-14,1.0184632306736638,1.0247055256436957
2024-10-15,1.014162896807745,1.0169080634456464
2024-10-16,1.021740835541276,1.0216663246989253
2024-10-17,1.0211130025977284,1.021491455801502
2024-10-18,1.0236522792928946,1.025548362990603
2024-10-21,1.0224596006279512,1.0236790247233711
2024-10-22,1.0173554336239141,1.0231929267580238
2024-10-23,1.0153284385009171,1.0137884296388777
2024-10-24,1.009797294095579,1.0159637884766008
2024-10-25,1.0066622242835401,1.01565956099539
2024-10-28,1.0103054869709414,1.01835252493867
2024-10-29,1.006103178727262,1.0199962754974095
2024-10-30,1.009489126166151,1.0166300492220084
2024-10-31,1.0000733261651624,0.9977057849585595
2024-11-01,0.9993528220546988,1.0017889054052336
2024-11-04,0.9992516245494919,0.9989717913755992
2024-11-05,1.0048408226066108,1.011224824279385
2024-11-06,1.0191886208012895,1.0368046944101978
2024-11-07,1.0223565734403366,1.0445094282768983
2024-11-08,1.023585366854087,1.0484334760888556
2024-11-11,1.0191844735907911,1.04944947462911
2024-11-12,1.0183586473085073,1.0464137744776967
2024-11-13,1.0204742344345628,1.0466567807677685
2024-11-14,1.018103505581786,1.0403247848228825
2024-11-15,1.0086822313287023,1.026588867084354
2024-11-18,1.0147421361679476,1.0306108517250927
2024-11-19,1.0187820972418364,1.034695765261047
2024-11-20,1.0184866711779428,1.034718477725263
2024-11-21,1.021360981221847,1.040244351960884
2024-11-22,1.0215119237333345,1.0438518768222804
2024-11-25,1.024055503521948,1.0470048108585388
2024-11-26,1.0260704275772283,1.0529957782993675
2024-11-27,1.0278137100296936,1.048993090714692
2024-11-29,1.0306354901481687,1.0548756189466693
2024-12-02,1.0282027982287243,1.0574584359770214
2024-12-03,1.0322415893810322,1.0579358246515793
2024-12-04,1.025043689229445,1.0643378364635976
2024-12-05,1.0304150123280245,1.0623477635181642
2024-12-06,1.0266759789021023,1.0649988033263684
2024-12-09,1.0244112554851912,1.0584552228464166
2024-12-10,1.0264235392459082,1.0553180850728647
2024-12-11,1.0316887171871043,1.0639355867684015
2024-12-12,1.030492978521846,1.0581754155334984
2024-12-13,1.0273786827918954,1.0581474091866454
2024-12-16,1.018425334132959,1.0621676861233076
2024-12-17,1.021474526067466,1.0580634755312903
2024-12-18,1.001178049697299,1.0268581720172023
2024-12-19,1.0027334285627307,1.0259698243566588
2024-12-20,1.0130680782961785,1.0371212173607587
2024-12-23,1.0211116883862044,1.044679003291685
2024-12-24,1.0268888206229096,1.056215142024198
2024-12-26,1.0268280495628863,1.055786679071429
2024-12-27,1.0201378652019244,1.0441141801684155
2024-12-30,1.0116892559405513,1.0329400747000994
2024-12-31,1.0131951718747567,1.0285141326600882
2025-01-02,1.0136006120234495,1.026226833820157
2025-01-03,1.0193517658481375,1.0391532144412678
2025-01-06,1.0222530435093249,1.044908091793534
2025-01-07,1.014203851242709,1.033305523372449
2025-01-08,1.013128008436095,1.0349178521761828
2025-01-10,1.001748420204326,1.0189680668730086
2025-01-13,1.0036882581710733,1.020573394090029
2025-01-14,1.0036671146824703,1.0217432567675673
2025-01-15,1.0177212863321308,1.0404542287918737
2025-01-16,1.0143164527724722,1.0382560721047307
2025-01-17,1.0222672533426107,1.0486293497464187
2025-01-21,1.0228142666177136,1.057823970034575
2025-01-22,1.0215020591961332,1.064316831703458
2025-01-23,1.0270118754908384,1.0699720645228663
2025-01-24,1.02508369959401,1.0669171527005932
2025-01-27,1.025698455737247,1.0513607370314177
2025-01-28,1.034118070682094,1.061052043050195
